up
Upload #23
Reader: Backpack reader 2  Site: AA
--------- upload 23 start ---------
E 2015-11-17 15:26:14.63 upload 22 complete
E 2015-11-18 09:01:17.69 supply power ok 19.0V
E 2015-11-18 09:01:17.69 database file opened
E 2015-11-18 09:01:17.69 starting reader after power up
D 2015-11-18 10:44:20.15 00:00:00.41 HA      900_226000085385    5   998
D 2015-11-18 10:44:21.57 00:00:00.00 HA      900_226000085385    1     9
D 2015-11-18 10:44:21.78 23:59:59.41 HA      900_226000085385    5     1
D 2015-11-18 10:44:22.70 00:00:00.00 HA      900_226000085385    1     4
D 2015-11-18 10:44:22.02 00:00:00.00 HA      900_226000085385    1     2
D 2015-11-18 10:44:27.89 00:00:01.44 HA      900_226000085385   15    47
D 2015-11-18 10:44:55.24 00:00:00.10 HA      900_226000084434    2   254
D 2015-11-18 10:44:56.88 00:00:00.21 HA      900_226000084434    3    14
D 2015-11-18 10:44:57.50 00:00:00.20 HA      900_226000084434    3     3
D 2015-11-18 10:45:00.15 00:00:01.03 HA      900_226000084434   11    23
D 2015-11-18 10:46:56.44 00:00:01.50 HA      900_226000081556   16  1134
D 2015-11-18 10:47:20.58 00:00:00.52 HA      900_226000081556    6   224
D 2015-11-18 10:48:34.48 00:00:00.40 HA      900_226000081556    5   722
D 2015-11-18 10:48:34.29 00:00:02.40 HA      900_226000081556    5     3
D 2015-11-18 10:48:42.24 00:00:01.00 HA      900_226000081556   11    64
D 2015-11-18 10:48:53.53 00:00:08.97 HA      900_226000081556   90   101
D 2015-11-18 10:49:48.78 00:00:00.00 HA      900_226000119495    1   459
D 2015-11-18 10:49:50.70 00:00:00.20 HA      900_226000119495    3    18
D 2015-11-18 10:49:56.23 00:00:00.40 HA      900_226000119495    5    52
D 2015-11-18 10:50:13.93 00:00:00.31 HA      900_226000119495    4   171
D 2015-11-18 10:50:25.02 00:00:01.89 HA      900_226000083081   20   106
D 2015-11-18 10:50:28.43 00:00:01.30 HA      900_226000083081   14    14
D 2015-11-18 10:50:31.55 00:00:00.00 HA      900_226000083081    1    17
D 2015-11-18 10:50:33.26 00:00:00.70 HA      900_226000083081    8    16
D 2015-11-18 10:50:34.57 00:00:00.00 HA      900_226000083081    1     5
