FID_,ALIVE,READER1,READER2,NOTES,DEAD,READERTIME,DRY,DATE,PIT,GPSTIME,TIME,PITNUM,Easting,Northing
,0,1,0,538742 d,0,0,0,,0,1419,0, ,568718.915742999990000,4100656.706040000100000
,0,0,1,538664 d dry,0,0,0,,0,1420,0, ,568718.778061000050000,4100655.410569999800000
,0,0,1,539927 d dry,0,0,0,,0,1420,0, ,568713.177982999940000,4100651.482009999900000
,0,1,0,539222 d,0,0,0,,0,1421,0, ,568715.164143000030000,4100662.407670000100000
,0,0,1,537575 u,0,0,0,,0,1422,0, ,568710.256993000050000,4100664.401769999900000
,0,0,1,081539 d dry,0,0,0,,0,1423,0, ,568714.472723999990000,4100656.300119999800000
,0,1,0,540877 d,0,0,0,,0,1423,0, ,568718.011508999970000,4100658.547760000000000
,0,0,1,113775 d,0,0,0,,0,1424,0, ,568716.245124000010000,4100657.054150000200000
,0,0,1,084610 d dry,0,0,0,,0,1424,0, ,568717.402178999970000,4100660.576789999800000
,0,1,0,105015 d,0,0,0,,0,1425,0, ,568716.289641999990000,4100669.813110000000000
,0,0,1,087158 d dry,0,0,0,,0,1425,0, ,568711.867668000050000,4100666.818659999900000
,0,1,0,117284 d,0,0,0,,0,1427,0, ,568717.340571000010000,4100668.157480000100000
,0,0,1,568483 d,0,0,0,,0,1429,0, ,568718.567683000000000,4100681.295860000000000
,1,0,0,537... missed 3,0,0,0,,0,1431,0, ,568719.190537999970000,4100677.602779999800000
,0,1,0,683704 d,0,0,0,,0,1431,0, ,568724.950816000000000,4100680.053390000000000
,0,0,1,588239 d,0,0,0,,0,1432,0, ,568717.176779999980000,4100688.311030000000000
,0,0,1,538158 d,0,0,0,,0,1433,0, ,568711.788034999980000,4100676.618090000000000
,0,1,0,537542 d,0,0,0,,0,1433,0, ,568720.175345000000000,4100684.082539999900000
,0,1,0,538158 d,0,0,0,,0,1435,0, ,568716.605015999990000,4100685.717679999800000
,0,0,1,541945 d,0,0,0,,0,1435,0, ,568719.458390000040000,4100681.118189999800000
,0,0,1,083380 d,0,0,0,,0,1435,0, ,568713.633501000000000,4100686.618069999900000
,0,1,0,080539 d,0,0,0,,0,1436,0, ,568710.374597999970000,4100686.406680000000000
,0,0,1,113238 d,0,0,0,,0,1436,0, ,568711.543671000050000,4100688.450160000000000
,0,1,0,568460 d,0,0,0,,0,1438,0, ,568716.528383000060000,4100695.147330000100000
,0,0,1,648089 d,0,0,0,,0,1438,0, ,568712.949044000010000,4100697.891840000200000
,0,0,0,083701 d,0,0,0,,0,1439,0, ,568719.209509999960000,4100693.504950000000000
,0,1,0,645144 d,0,0,0,,0,1442,0, ,568718.201593999980000,4100708.104429999800000
,0,0,1,689788 d,0,0,0,,0,1442,0, ,568716.249452000020000,4100711.231980000200000
,0,0,1,686146 d,0,0,0,,0,1443,0, ,568711.721371000050000,4100703.059270000100000
,0,1,0,085620 d,0,0,0,,0,2443,0, ,568715.858947000000000,4100704.572149999900000
,0,0,1,684673 d,0,0,0,,0,1444,0, ,568714.762950000000000,4100711.774619999800000
,0,1,1,588456 d,0,0,0,,0,1444,0, ,568712.618082999950000,4100702.142020000100000
,0,0,1,533315 d,0,0,0,,0,1445,0, ,568710.200308999980000,4100707.854489999800000
,0,1,0,684508 d,0,0,0,,0,1445,0, ,568719.438286000050000,4100701.827630000200000
,0,0,1,085381 d,0,0,0,,0,1446,0, ,568719.402221999950000,4100706.265110000000000
,0,0,1,533547 d,0,0,0,,0,1446,0, ,568712.894950999990000,4100704.548059999900000
