up
Upload #22
Reader: Backpack reader 2  Site: AA
--------- upload 22 start ---------
E 2015-11-02 15:04:08.64 upload 21 complete
E 2015-11-16 07:48:42.53 supply power ok 18.9V
E 2015-11-16 07:48:42.53 database file opened
E 2015-11-16 07:48:42.53 starting reader after power up
D 2015-11-16 11:27:38.55 00:00:00.20 HA      900_226000568899    3    19
D 2015-11-16 11:28:40.14 00:00:00.00 HA      900_226000568899    1   608
D 2015-11-16 11:28:40.94 00:00:00.11 HA      900_226000568899    2     7
D 2015-11-16 11:28:56.04 00:00:00.00 HA      900_226000568899    1   148
D 2015-11-16 11:28:57.95 00:00:00.21 HA      900_226000568899    3    18
D 2015-11-16 11:28:59.16 00:00:00.50 HA      900_226000568899    6     9
D 2015-11-16 11:29:00.37 00:00:02.11 HA      900_226000568899   22     6
D 2015-11-16 11:29:02.78 00:00:04.45 HA      900_226000568899   45     2
D 2015-11-16 11:30:56.53 00:00:00.40 HA      900_226000119616    5  1080
D 2015-11-16 11:30:57.83 00:00:01.22 HA      900_226000119616   13     8
D 2015-11-16 11:31:00.94 00:00:00.51 HA      900_226000119616    6    18
D 2015-11-16 11:31:28.36 00:00:00.82 HA      900_226000119616    9   266
D 2015-11-16 11:31:37.28 00:00:00.00 HA      900_226000532924    1    79
D 2015-11-16 11:31:39.28 00:00:00.40 HA      900_226000532924    5    19
D 2015-11-16 11:31:39.19 00:00:01.41 HA      900_226000532924    5     4
D 2015-11-16 11:31:42.10 00:00:00.50 HA      900_226000532924    6    14
D 2015-11-16 11:32:33.25 00:00:00.30 HA      900_226000532924    4   502
D 2015-11-16 11:34:38.18 00:00:00.30 HA      900_226000081065    4  1237
D 2015-11-16 11:34:39.59 00:00:00.51 HA      900_226000081065    6    10
D 2015-11-16 11:34:42.51 00:00:00.30 HA      900_226000081065    4    23
D 2015-11-16 11:34:42.02 00:00:00.20 HA      900_226000081065    3     1
D 2015-11-16 11:34:58.61 00:00:00.20 HA      900_226000081065    3   152
D 2015-11-16 11:35:00.52 23:59:59.80 HA      900_226000081065    9     6
